date,Stock,cumulative_return
2024-04-09,ASIANPAINT,1.1012420984478033
2024-04-10,ASIANPAINT,1.047008911076656
2024-04-11,ASIANPAINT,0.9934402208175024
2024-05-01,ASIANPAINT,1.1434632226406098
2024-05-02,ASIANPAINT,0.9941387947044696
2024-05-03,ASIANPAINT,0.9611013613671606
2024-05-04,ASIANPAINT,0.982586767988278
2024-05-06,ASIANPAINT,1.0092688827929328
2024-05-07,ASIANPAINT,1.0004600364621496
2024-05-08,ASIANPAINT,1.0541309570462256
2024-05-09,ASIANPAINT,1.1034911655960884
2024-05-11,ASIANPAINT,0.9838987238247776
2024-06-02,ASIANPAINT,0.9987732361009356
2024-06-03,ASIANPAINT,0.9634526588403678
2024-06-05,ASIANPAINT,0.999182157400624
2024-06-06,ASIANPAINT,0.9898621594452306
2024-06-08,ASIANPAINT,1.056976367756556
2024-06-09,ASIANPAINT,1.1155713823243771
2024-06-11,ASIANPAINT,0.9873064013221792
2024-07-02,ASIANPAINT,1.015879777137892
2024-07-03,ASIANPAINT,0.9781908640166298
2024-07-05,ASIANPAINT,0.9926564549930996
2024-07-06,ASIANPAINT,0.9976657409142802
2024-07-08,ASIANPAINT,1.0568741374316335
2024-07-10,ASIANPAINT,1.0435160416418192
2024-07-11,ASIANPAINT,0.968751597348827
2024-08-01,ASIANPAINT,1.123988345742959
2024-08-02,ASIANPAINT,0.9983131996387862
2024-08-04,ASIANPAINT,0.985500332248556
2024-08-05,ASIANPAINT,0.96890494283621
2024-08-07,ASIANPAINT,0.987596053909458
2024-08-08,ASIANPAINT,1.0241433950690906
2024-08-10,ASIANPAINT,1.0523078495851153
2024-08-11,ASIANPAINT,0.9437392445178988
2024-09-01,ASIANPAINT,1.1134586222759877
2024-09-02,ASIANPAINT,1.005827128520557
2024-09-04,ASIANPAINT,0.9736245761701112
2024-09-05,ASIANPAINT,0.92351467857082
2024-09-07,ASIANPAINT,0.989930312995178
2024-09-08,ASIANPAINT,1.0361384198599444
2024-09-09,ASIANPAINT,1.117973794960045
2024-09-10,ASIANPAINT,1.0491727862875058
2024-10-01,ASIANPAINT,1.12005247823346
2024-10-04,ASIANPAINT,0.9871189790598218
2024-10-05,ASIANPAINT,0.9443526264674312
2024-10-06,ASIANPAINT,1.0010223032492205
2024-10-07,ASIANPAINT,1.021093523708916
2024-10-09,ASIANPAINT,1.1228467737813292
2024-10-10,ASIANPAINT,1.0424426232301374
2024-11-01,ASIANPAINT,1.120512514695609
2024-11-03,ASIANPAINT,0.9803377008399924
2024-11-06,ASIANPAINT,0.9890613552333404
2024-11-07,ASIANPAINT,1.0298171781022645
2024-11-09,ASIANPAINT,1.147518358862517
2024-11-10,ASIANPAINT,1.0349798095108278
2024-11-11,ASIANPAINT,0.8666064643642125
2024-12-01,ASIANPAINT,1.1169685300983114
2024-12-02,ASIANPAINT,1.006559779182498
2024-12-03,ASIANPAINT,0.9800991634151742
2024-12-04,ASIANPAINT,0.9727215416332996
2024-12-06,ASIANPAINT,0.9902029271949702
2024-12-07,ASIANPAINT,1.022013596633215
2024-12-08,ASIANPAINT,1.0404320935066704
2024-12-09,ASIANPAINT,1.1529024893084117
2024-12-11,ASIANPAINT,0.8433490654444462
2023-01-11,AXISBANK,0.0
2023-01-12,AXISBANK,1.1367050833504837
2023-02-11,AXISBANK,1.0114735542292654
2023-03-10,AXISBANK,1.0712595184194278
2023-03-11,AXISBANK,1.0175447622967688
2023-04-10,AXISBANK,1.0244391850174932
2023-04-12,AXISBANK,1.158263017081704
2023-05-10,AXISBANK,1.0323626260547436
2023-05-12,AXISBANK,1.1653117925499072
2023-06-10,AXISBANK,1.0299958839267338
2023-06-11,AXISBANK,1.0386910887013787
2023-06-12,AXISBANK,1.1530150236674213
2023-07-11,AXISBANK,1.0505247993414282
2023-07-12,AXISBANK,1.1502881251286272
2023-08-11,AXISBANK,1.0513480139946492
2023-08-12,AXISBANK,1.16402551965425
2023-09-10,AXISBANK,1.0251594978390617
2023-09-11,AXISBANK,1.0515538176579544
2023-10-10,AXISBANK,1.0416237909034782
2023-10-11,AXISBANK,1.0590656513685948
2023-11-10,AXISBANK,1.0486725663716818
2023-11-12,AXISBANK,1.1488989504013176
2023-12-10,AXISBANK,1.0480037044659398
2023-12-11,AXISBANK,1.0598374151059893
2023-12-12,AXISBANK,1.1638197159909451
2024-01-01,AXISBANK,1.1295534060506285
2024-01-02,AXISBANK,1.115713109693353
2024-01-03,AXISBANK,1.1311483844412435
2024-01-04,AXISBANK,1.083659189133567
2024-01-07,AXISBANK,1.2985182136242033
2024-01-08,AXISBANK,1.2063181724634704
2024-01-10,AXISBANK,1.2622453179666606
2024-01-11,AXISBANK,1.2034883720930238
2024-02-01,AXISBANK,1.1249742745420874
2024-02-02,AXISBANK,1.0980139946491052
2024-02-03,AXISBANK,1.1285243877341022
2024-02-04,AXISBANK,1.0775879810660636
2024-02-05,AXISBANK,1.1832167112574608
2024-02-07,AXISBANK,1.289771557933732
2024-02-08,AXISBANK,1.1945359127392472
2024-02-09,AXISBANK,1.22329697468615
2024-03-01,AXISBANK,1.1304795225355015
2024-03-04,AXISBANK,1.0941037250463064
2024-03-05,AXISBANK,1.1746244083144688
2024-03-06,AXISBANK,1.2594155175962145
2024-03-07,AXISBANK,1.3171434451533248
2024-03-09,AXISBANK,1.2261782259724232
2024-03-10,AXISBANK,1.2098168347396594
2024-04-01,AXISBANK,1.1559991767853477
2024-04-03,AXISBANK,1.1388660218151891
2024-04-04,AXISBANK,1.0937950195513488
2024-04-06,AXISBANK,1.1640769705700769
2024-04-07,AXISBANK,1.318069561638198
2024-04-09,AXISBANK,1.2118748713727112
2024-04-10,AXISBANK,1.2125951841942797
2024-04-11,AXISBANK,1.172309117102285
2024-05-01,AXISBANK,1.1699423749742752
2024-05-02,AXISBANK,1.0923029429923858
2024-05-03,AXISBANK,1.1327433628318588
2024-05-04,AXISBANK,1.089833299032723
2024-05-06,AXISBANK,1.218872195925088
2024-05-07,AXISBANK,1.3243980242848326
2024-05-08,AXISBANK,1.16639226178226
2024-05-09,AXISBANK,1.2148075735748098
2024-05-11,AXISBANK,1.2057007614735544
2024-06-02,AXISBANK,1.0805206832681622
2024-06-03,AXISBANK,1.1576456060917886
2024-06-05,AXISBANK,1.1768367976949992
2024-06-06,AXISBANK,1.20492899773616
2024-06-08,AXISBANK,1.158777526239967
2024-06-09,AXISBANK,1.1923749742745422
2024-06-11,AXISBANK,1.200349866227619
2024-07-02,AXISBANK,1.1001234821979833
2024-07-03,AXISBANK,1.143702407902861
2024-07-05,AXISBANK,1.160423955546409
2024-07-06,AXISBANK,1.221238938053098
2024-07-08,AXISBANK,1.1697880222267962
2024-07-10,AXISBANK,1.178946285243878
2024-07-11,AXISBANK,1.193558345338548
2024-08-01,AXISBANK,1.1545585511422112
2024-08-02,AXISBANK,1.0659600740893196
2024-08-04,AXISBANK,1.1072751594978398
2024-08-05,AXISBANK,1.1614015229471093
2024-08-07,AXISBANK,1.325221238938054
2024-08-08,AXISBANK,1.1711771969541067
2024-08-10,AXISBANK,1.1867668244494762
2024-08-11,AXISBANK,1.1946388145709004
2024-09-01,AXISBANK,1.1489504013171443
2024-09-02,AXISBANK,1.0819098579954731
2024-09-04,AXISBANK,1.1113397818481177
